Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.9067,01/04/2026,30/04/2026
Albania,Lek,ALL,111.0571,01/04/2026,30/04/2026
Algeria,Dinar,DZD,176.5340,01/04/2026,30/04/2026
Angola,Readj Kwanza,AOA,1223.1499,01/04/2026,30/04/2026
Antigua,E Caribbean Dollar,XCD,3.6173,01/04/2026,30/04/2026
Argentina,Peso,ARS,1865.4704,01/04/2026,30/04/2026
Armenia,Dram,AMD,502.9638,01/04/2026,30/04/2026
Aruba,Florin,AWG,2.3916,01/04/2026,30/04/2026
Australia,Dollar,AUD,1.8817,01/04/2026,30/04/2026
Azerbaijan,New Manat,AZN,2.2713,01/04/2026,30/04/2026
Bahamas,Dollar,BSD,1.3361,01/04/2026,30/04/2026
Bahrain,Dinar,BHD,0.5024,01/04/2026,30/04/2026
Bangladesh,Taka,BDT,163.5698,01/04/2026,30/04/2026
Barbados,Dollar,BBD,2.6721,01/04/2026,30/04/2026
Belarus,Rouble,BYN,4.0716,01/04/2026,30/04/2026
Belize,Dollar,BZD,2.6860,01/04/2026,30/04/2026
Benin,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Bermuda,Dollar (US),BMD,1.3361,01/04/2026,30/04/2026
Bhutan,Ngultrum,BTN,123.8811,01/04/2026,30/04/2026
Bolivia,Boliviano,BOB,9.2040,01/04/2026,30/04/2026
Bosnia- Herzegovinia,Marka,BAM,2.2629,01/04/2026,30/04/2026
Botswana,Pula,BWP,18.0623,01/04/2026,30/04/2026
Brazil,Real,BRL,6.9467,01/04/2026,30/04/2026
Brunei,Dollar,BND,1.7062,01/04/2026,30/04/2026
Burkina Faso,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Burundi,Franc,BIF,3956.4040,01/04/2026,30/04/2026
Cambodia,Riel,KHR,5346.7379,01/04/2026,30/04/2026
Cameroon Republic,CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Canada,Dollar,CAD,1.8290,01/04/2026,30/04/2026
Cape Verde Islands,Escudo,CVE,127.5827,01/04/2026,30/04/2026
Cayman Islands,Dollar,KYD,1.1106,01/04/2026,30/04/2026
Central African Republic,CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Chad,CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Chile,Peso,CLP,1210.7257,01/04/2026,30/04/2026
China,Yuan,CNY,9.1842,01/04/2026,30/04/2026
Colombia,Peso,COP,4945.0144,01/04/2026,30/04/2026
Comoros,Franc,KMF,569.2082,01/04/2026,30/04/2026
Congo (Brazaville),CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Congo (DemRep),Congo Fr,CDF,3088.3315,01/04/2026,30/04/2026
Costa Rica,Colon,CRC,624.3846,01/04/2026,30/04/2026
Cote d'Ivoire,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Cuba,Peso,CUP,31.9742,01/04/2026,30/04/2026
Czech Republic,Koruna,CZK,28.2840,01/04/2026,30/04/2026
Denmark,Krone,DKK,8.6454,01/04/2026,30/04/2026
Djibouti,Franc,DJF,237.7001,01/04/2026,30/04/2026
Dominica,E Caribbean Dollar,XCD,3.6173,01/04/2026,30/04/2026
Dominican Republic,Peso,DOP,81.2804,01/04/2026,30/04/2026
Dubai,Dirham,AED,4.9067,01/04/2026,30/04/2026
Egypt,Pound,EGP,69.9317,01/04/2026,30/04/2026
El Salvador,Colon,SVC,11.6906,01/04/2026,30/04/2026
Equatorial Guinea,CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Eritrea,Nakfa,ERN,20.0411,01/04/2026,30/04/2026
Eswatini,Lilangeni,SZL,22.3066,01/04/2026,30/04/2026
Ethiopia,Birr,ETB,208.4139,01/04/2026,30/04/2026
Eurozone,Euro,EUR,1.1570,01/04/2026,30/04/2026
Fiji Islands,Dollar,FJD,2.9512,01/04/2026,30/04/2026
Fr. Polynesia,CFP Franc,XPF,138.0672,01/04/2026,30/04/2026
Gabon,CFA Franc,XAF,758.9442,01/04/2026,30/04/2026
Gambia,Dalasi,GMD,98.7878,01/04/2026,30/04/2026
Georgia,Lari,GEL,3.6248,01/04/2026,30/04/2026
Ghana,Cedi,GHS,14.5441,01/04/2026,30/04/2026
Grenada,E Caribbean Dollar,XCD,3.6173,01/04/2026,30/04/2026
Guatemala,Quetzal,GTQ,10.2252,01/04/2026,30/04/2026
Guinea Bissau,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Guinea Republic,Franc,GNF,11703.9431,01/04/2026,30/04/2026
Guyana,Dollar,GYD,278.7393,01/04/2026,30/04/2026
Haiti,Gourde,HTG,174.7610,01/04/2026,30/04/2026
Honduras,Lempira,HNL,35.3598,01/04/2026,30/04/2026
Hong Kong,Dollar,HKD,10.4729,01/04/2026,30/04/2026
Hungary,Forint,HUF,451.4041,01/04/2026,30/04/2026
Iceland,Krona,ISK,166.0916,01/04/2026,30/04/2026
India,Rupee,INR,123.8811,01/04/2026,30/04/2026
Indonesia,Rupiah,IDR,22658.6739,01/04/2026,30/04/2026
Iraq,Dinar,IQD,1745.3754,01/04/2026,30/04/2026
Israel,Shekel,ILS,4.1293,01/04/2026,30/04/2026
Jamaica,Dollar,JMD,209.5832,01/04/2026,30/04/2026
Japan,Yen,JPY,212.3977,01/04/2026,30/04/2026
Jordan,Dinar,JOD,0.9473,01/04/2026,30/04/2026
Kazakhstan,Tenge,KZT,644.6143,01/04/2026,30/04/2026
Kenya,Schilling,KES,173.1182,01/04/2026,30/04/2026
Kuwait,Dinar,KWD,0.4097,01/04/2026,30/04/2026
Kyrgyz Republic,Som,KGS,116.8594,01/04/2026,30/04/2026
Lao People's Dem Rep,Kip,LAK,28648.8504,01/04/2026,30/04/2026
Lebanon,Pound,LBP,119378.7110,01/04/2026,30/04/2026
Lesotho,Loti,LSL,22.3066,01/04/2026,30/04/2026
Liberia,Dollar,LRD,243.8756,01/04/2026,30/04/2026
Libya,Dinar,LYD,8.5288,01/04/2026,30/04/2026
Macao,Pataca,MOP,10.7871,01/04/2026,30/04/2026
Macedonia,Denar,MKD,71.3755,01/04/2026,30/04/2026
Madagascar,Malagasy Ariary,MGA,5547.4509,01/04/2026,30/04/2026
Malawi,Kwacha,MWK,2311.8500,01/04/2026,30/04/2026
Malaysia,Ringgit,MYR,5.2326,01/04/2026,30/04/2026
Maldive Islands,Rufiyaa,MVR,20.6548,01/04/2026,30/04/2026
Mali Republic,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Mauritania,Ouguiya,MRU,53.3043,01/04/2026,30/04/2026
Mauritius,Rupee,MUR,62.1298,01/04/2026,30/04/2026
Mexico,Mexican Peso,MXN,23.5397,01/04/2026,30/04/2026
Moldova,Leu,MDL,23.2389,01/04/2026,30/04/2026
Mongolia,Tugrik,MNT,4770.5953,01/04/2026,30/04/2026
Montserrat,E Caribbean Dollar,XCD,3.6173,01/04/2026,30/04/2026
Morocco,Dirham,MAD,12.5072,01/04/2026,30/04/2026
Mozambique,Metical,MZN,85.3559,01/04/2026,30/04/2026
Myanmar,Kyat,MMK,2805.5492,01/04/2026,30/04/2026
Nepal,Rupee,NPR,198.3026,01/04/2026,30/04/2026
New Caledonia,CFP Franc,XPF,138.0672,01/04/2026,30/04/2026
New Zealand,Dollar,NZD,2.2821,01/04/2026,30/04/2026
Nicaragua,Gold Cordoba,NIO,49.1076,01/04/2026,30/04/2026
Niger Republic,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Nigeria,Naira,NGN,1811.4271,01/04/2026,30/04/2026
Norway,Norwegian Krone,NOK,12.8015,01/04/2026,30/04/2026
Oman,Rial,OMR,0.5139,01/04/2026,30/04/2026
Pakistan,Rupee,PKR,372.1568,01/04/2026,30/04/2026
Panama,Balboa,PAB,1.3361,01/04/2026,30/04/2026
Papua New Guinea,Kina,PGK,5.7480,01/04/2026,30/04/2026
Paraguay,Guarani,PYG,8637.8974,01/04/2026,30/04/2026
Peru,New Sol,PEN,4.5588,01/04/2026,30/04/2026
Philippines,Peso,PHP,79.7223,01/04/2026,30/04/2026
Poland,Zloty,PLN,4.9305,01/04/2026,30/04/2026
Qatar,Riyal,QAR,4.8633,01/04/2026,30/04/2026
Romania,New Leu,RON,5.8934,01/04/2026,30/04/2026
Russia,Rouble,RUB,111.5771,01/04/2026,30/04/2026
Rwanda,Franc,RWF,1948.5263,01/04/2026,30/04/2026
Saudi Arabia,Riyal,SAR,5.0103,01/04/2026,30/04/2026
Senegal,CFA Franc,XOF,758.9442,01/04/2026,30/04/2026
Serbia,Dinar,RSD,135.8902,01/04/2026,30/04/2026
Seychelles,Rupee,SCR,18.3606,01/04/2026,30/04/2026
Sierra Leone,Leone,SLE,30.5158,01/04/2026,30/04/2026
Singapore,Dollar,SGD,1.7062,01/04/2026,30/04/2026
Soloman Islands,Dollar,SBD,10.7641,01/04/2026,30/04/2026
