Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.5379,01/02/2025,28/02/2025
Albania,Lek,ALL,116.3088,01/02/2025,28/02/2025
Algeria,Dinar,DZD,166.8709,01/02/2025,28/02/2025
Angola,Readj Kwanza,AOA,1138.1488,01/02/2025,28/02/2025
Antigua,E Caribbean Dollar,XCD,3.3442,01/02/2025,28/02/2025
Argentina,Peso,ARS,1292.8268,01/02/2025,28/02/2025
Armenia,Dram,AMD,494.2943,01/02/2025,28/02/2025
Aruba,Florin,AWG,2.2118,01/02/2025,28/02/2025
Australia,Dollar,AUD,1.9667,01/02/2025,28/02/2025
Azerbaijan,New Manat,AZN,2.1006,01/02/2025,28/02/2025
Bahamas,Dollar,BSD,1.2357,01/02/2025,28/02/2025
Bahrain,Dinar,BHD,0.4646,01/02/2025,28/02/2025
Bangladesh,Taka,BDT,150.1776,01/02/2025,28/02/2025
Barbados,Dollar,BBD,2.4713,01/02/2025,28/02/2025
Belarus,Rouble,BYN,4.0406,01/02/2025,28/02/2025
Belize,Dollar,BZD,2.4793,01/02/2025,28/02/2025
Benin,CFA Franc,XOF,776.1404,01/02/2025,28/02/2025
Bermuda,Dollar (US),BMD,1.2357,01/02/2025,28/02/2025
Bhutan,Ngultrum,BTN,106.7843,01/02/2025,28/02/2025
Bolivia,Boliviano,BOB,8.5398,01/02/2025,28/02/2025
Bosnia- Herzegovinia,Marka,BAM,2.3142,01/02/2025,28/02/2025
Botswana,Pula,BWP,17.1054,01/02/2025,28/02/2025
Brazil,Real,BRL,7.4452,01/02/2025,28/02/2025
Brunei,Dollar,BND,1.6717,01/02/2025,28/02/2025
Bulgaria,Lev,BGN,2.3142,01/02/2025,28/02/2025
Burkina Faso,CFA Franc,XOF,776.1404,01/02/2025,28/02/2025
Burundi,Franc,BIF,3650.4961,01/02/2025,28/02/2025
Cambodia,Riel,KHR,4969.4385,01/02/2025,28/02/2025
Cameroon Republic,CFA Franc,XAF,776.1404,01/02/2025,28/02/2025
Canada,Dollar,CAD,1.7712,01/02/2025,28/02/2025
Cape Verde Islands,Escudo,CVE,130.4735,01/02/2025,28/02/2025
Cayman Islands,Dollar,KYD,1.0222,01/02/2025,28/02/2025
Central African Republic,CFA Franc,XAF,776.1404,01/02/2025,28/02/2025
Chad,CFA Franc,XAF,776.1404,01/02/2025,28/02/2025
Chile,Peso,CLP,1236.3033,01/02/2025,28/02/2025
China,Yuan,CNY,8.9756,01/02/2025,28/02/2025
Colombia,Peso,COP,5325.5530,01/02/2025,28/02/2025
Comoros,Franc,KMF,582.1053,01/02/2025,28/02/2025
Congo (Brazaville),CFA Franc,XAF,776.1404,01/02/2025,28/02/2025
Congo (DemRep),Congo Fr,CDF,3525.3175,01/02/2025,28/02/2025
Costa Rica,Colon,CRC,620.9587,01/02/2025,28/02/2025
Cote d'Ivoire,CFA Franc,XOF,776.1404,01/02/2025,28/02/2025
Cuba,Peso,CUP,29.6429,01/02/2025,28/02/2025
Czech Republic,Koruna,CZK,29.7569,01/02/2025,28/02/2025
