Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.8737,01/05/2025,31/05/2025
Albania,Lek,ALL,116.1071,01/05/2025,31/05/2025
Algeria,Dinar,DZD,176.0155,01/05/2025,31/05/2025
Angola,Readj Kwanza,AOA,1220.1919,01/05/2025,31/05/2025
Antigua,E Caribbean Dollar,XCD,3.5918,01/05/2025,31/05/2025
Argentina,Peso,ARS,1590.0161,01/05/2025,31/05/2025
Armenia,Dram,AMD,518.4789,01/05/2025,31/05/2025
Aruba,Florin,AWG,2.3755,01/05/2025,31/05/2025
Australia,Dollar,AUD,2.0824,01/05/2025,31/05/2025
Azerbaijan,New Manat,AZN,2.2561,01/05/2025,31/05/2025
Bahamas,Dollar,BSD,1.3271,01/05/2025,31/05/2025
Bahrain,Dinar,BHD,0.4990,01/05/2025,31/05/2025
Bangladesh,Taka,BDT,161.1671,01/05/2025,31/05/2025
Barbados,Dollar,BBD,2.6542,01/05/2025,31/05/2025
Belarus,Rouble,BYN,4.3397,01/05/2025,31/05/2025
Belize,Dollar,BZD,2.6707,01/05/2025,31/05/2025
Benin,CFA Franc,XOF,766.1720,01/05/2025,31/05/2025
Bermuda,Dollar (US),BMD,1.3271,01/05/2025,31/05/2025
Bhutan,Ngultrum,BTN,113.6384,01/05/2025,31/05/2025
Bolivia,Boliviano,BOB,9.1606,01/05/2025,31/05/2025
Bosnia- Herzegovinia,Marka,BAM,2.2845,01/05/2025,31/05/2025
Botswana,Pula,BWP,18.3081,01/05/2025,31/05/2025
Brazil,Real,BRL,7.8761,01/05/2025,31/05/2025
Brunei,Dollar,BND,1.7437,01/05/2025,31/05/2025
Bulgaria,Lev,BGN,2.2845,01/05/2025,31/05/2025
Burkina Faso,CFA Franc,XOF,766.1720,01/05/2025,31/05/2025
Burundi,Franc,BIF,3944.3419,01/05/2025,31/05/2025
Cambodia,Riel,KHR,5312.3367,01/05/2025,31/05/2025
Cameroon Republic,CFA Franc,XAF,766.1720,01/05/2025,31/05/2025
Canada,Dollar,CAD,1.8475,01/05/2025,31/05/2025
Cape Verde Islands,Escudo,CVE,128.7978,01/05/2025,31/05/2025
Cayman Islands,Dollar,KYD,1.1003,01/05/2025,31/05/2025
Central African Republic,CFA Franc,XAF,766.1720,01/05/2025,31/05/2025
Chad,CFA Franc,XAF,766.1720,01/05/2025,31/05/2025
