Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.9256,01/06/2025,30/06/2025
Albania,Lek,ALL,116.1352,01/06/2025,30/06/2025
Algeria,Dinar,DZD,177.6539,01/06/2025,30/06/2025
Angola,Readj Kwanza,AOA,1233.4506,01/06/2025,30/06/2025
Antigua,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
Argentina,Peso,ARS,1532.9769,01/06/2025,30/06/2025
Armenia,Dram,AMD,512.1380,01/06/2025,30/06/2025
Aruba,Florin,AWG,2.4008,01/06/2025,30/06/2025
Australia,Dollar,AUD,2.0813,01/06/2025,30/06/2025
Azerbaijan,New Manat,AZN,2.2801,01/06/2025,30/06/2025
Bahamas,Dollar,BSD,1.3412,01/06/2025,30/06/2025
Bahrain,Dinar,BHD,0.5043,01/06/2025,30/06/2025
Bangladesh,Taka,BDT,163.2698,01/06/2025,30/06/2025
Barbados,Dollar,BBD,2.6824,01/06/2025,30/06/2025
Belarus,Rouble,BYN,4.3904,01/06/2025,30/06/2025
Belize,Dollar,BZD,2.6981,01/06/2025,30/06/2025
Benin,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Bermuda,Dollar (US),BMD,1.3412,01/06/2025,30/06/2025
Bhutan,Ngultrum,BTN,114.7937,01/06/2025,30/06/2025
Bolivia,Boliviano,BOB,9.2680,01/06/2025,30/06/2025
Bosnia- Herzegovinia,Marka,BAM,2.3169,01/06/2025,30/06/2025
Botswana,Pula,BWP,18.0137,01/06/2025,30/06/2025
Brazil,Real,BRL,7.6038,01/06/2025,30/06/2025
Brunei,Dollar,BND,1.7301,01/06/2025,30/06/2025
Bulgaria,Lev,BGN,2.3169,01/06/2025,30/06/2025
Burkina Faso,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Burundi,Franc,BIF,3989.4529,01/06/2025,30/06/2025
Cambodia,Riel,KHR,5368.5830,01/06/2025,30/06/2025
Cameroon Republic,CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Canada,Dollar,CAD,1.8632,01/06/2025,30/06/2025
Cape Verde Islands,Escudo,CVE,130.6267,01/06/2025,30/06/2025
Cayman Islands,Dollar,KYD,1.1153,01/06/2025,30/06/2025
Central African Republic,CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Chad,CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Chile,Peso,CLP,1264.1527,01/06/2025,30/06/2025
China,Yuan,CNY,9.6621,01/06/2025,30/06/2025
Colombia,Peso,COP,5592.2966,01/06/2025,30/06/2025
Comoros,Franc,KMF,582.7890,01/06/2025,30/06/2025
Congo (Brazaville),CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Congo (DemRep),Congo Fr,CDF,3889.5421,01/06/2025,30/06/2025
Costa Rica,Colon,CRC,679.7860,01/06/2025,30/06/2025
Cote d'Ivoire,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Cuba,Peso,CUP,32.1829,01/06/2025,30/06/2025
Czech Republic,Koruna,CZK,29.4563,01/06/2025,30/06/2025
Denmark,Krone,DKK,8.8363,01/06/2025,30/06/2025
Djibouti,Franc,DJF,238.7815,01/06/2025,30/06/2025
Dominica,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
Dominican Republic,Peso,DOP,78.9969,01/06/2025,30/06/2025
Dubai,Dirham,AED,4.9256,01/06/2025,30/06/2025
Egypt,Pound,EGP,66.8675,01/06/2025,30/06/2025
El Salvador,Colon,SVC,11.7357,01/06/2025,30/06/2025
Equatorial Guinea,CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Eritrea,Nakfa,ERN,20.1183,01/06/2025,30/06/2025
Ethiopia,Birr,ETB,180.4233,01/06/2025,30/06/2025
Eurozone,Euro,EUR,1.1846,01/06/2025,30/06/2025
Fiji Islands,Dollar,FJD,3.0340,01/06/2025,30/06/2025
Fr. Polynesia,CFP Franc,XPF,141.3613,01/06/2025,30/06/2025
Gabon,CFA Franc,XAF,777.0519,01/06/2025,30/06/2025
Gambia,Dalasi,GMD,97.4053,01/06/2025,30/06/2025
Georgia,Lari,GEL,3.6732,01/06/2025,30/06/2025
Ghana,Cedi,GHS,16.0405,01/06/2025,30/06/2025
Grenada,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
Guatemala,Quetzal,GTQ,10.2951,01/06/2025,30/06/2025
Guinea Bissau,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Guinea Republic,Franc,GNF,11621.8263,01/06/2025,30/06/2025
Guyana,Dollar,GYD,281.3466,01/06/2025,30/06/2025
Haiti,Gourde,HTG,175.5305,01/06/2025,30/06/2025
Honduras,Lempira,HNL,34.9044,01/06/2025,30/06/2025
Hong Kong,Dollar,HKD,10.5043,01/06/2025,30/06/2025
Hungary,Forint,HUF,476.3399,01/06/2025,30/06/2025
Iceland,Krona,ISK,171.3008,01/06/2025,30/06/2025
India,Rupee,INR,114.7937,01/06/2025,30/06/2025
Indonesia,Rupiah,IDR,21904.0141,01/06/2025,30/06/2025
Iraq,Dinar,IQD,1753.6147,01/06/2025,30/06/2025
Israel,Shekel,ILS,4.7629,01/06/2025,30/06/2025
Jamaica,Dollar,JMD,213.3224,01/06/2025,30/06/2025
Japan,Yen,JPY,192.8257,01/06/2025,30/06/2025
Jordan,Dinar,JOD,0.9509,01/06/2025,30/06/2025
Kazakhstan,Tenge,KZT,682.8432,01/06/2025,30/06/2025
Kenya,Schilling,KES,173.3049,01/06/2025,30/06/2025
Kuwait,Dinar,KWD,0.4116,01/06/2025,30/06/2025
Kyrgyz Republic,Som,KGS,117.3220,01/06/2025,30/06/2025
Lao People's Dem Rep,Kip,LAK,28943.4141,01/06/2025,30/06/2025
Lebanon,Pound,LBP,120296.6517,01/06/2025,30/06/2025
Lesotho,Loti,LSL,23.9960,01/06/2025,30/06/2025
Liberia,Dollar,LRD,268.1517,01/06/2025,30/06/2025
Libya,Dinar,LYD,7.4091,01/06/2025,30/06/2025
Macao,Pataca,MOP,10.8194,01/06/2025,30/06/2025
Macedonia,Denar,MKD,72.7702,01/06/2025,30/06/2025
Madagascar,Malagasy Ariary,MGA,6036.0976,01/06/2025,30/06/2025
Malawi,Kwacha,MWK,2325.5545,01/06/2025,30/06/2025
Malaysia,Ringgit,MYR,5.7290,01/06/2025,30/06/2025
Maldive Islands,Rufiyaa,MVR,20.7346,01/06/2025,30/06/2025
Mali Republic,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Mauritania,Ouguiya,MRU,53.0774,01/06/2025,30/06/2025
Mauritius,Rupee,MUR,61.2380,01/06/2025,30/06/2025
Mexico,Mexican Peso,MXN,25.8736,01/06/2025,30/06/2025
Moldova,Leu,MDL,23.3548,01/06/2025,30/06/2025
Mongolia,Tugrik,MNT,4793.6871,01/06/2025,30/06/2025
Montserrat,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
Morocco,Dirham,MAD,12.3790,01/06/2025,30/06/2025
Mozambique,Metical,MZN,85.6897,01/06/2025,30/06/2025
Myanmar,Kyat,MMK,2816.2039,01/06/2025,30/06/2025
Nepal,Rupee,NPR,183.7561,01/06/2025,30/06/2025
New Caledonia,CFP Franc,XPF,141.3613,01/06/2025,30/06/2025
New Zealand,Dollar,NZD,2.2595,01/06/2025,30/06/2025
Nicaragua,Gold Cordoba,NIO,49.3525,01/06/2025,30/06/2025
Niger Republic,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Nigeria,Naira,NGN,2135.0370,01/06/2025,30/06/2025
Norway,Norwegian Krone,NOK,13.6149,01/06/2025,30/06/2025
Oman,Rial,OMR,0.5164,01/06/2025,30/06/2025
Pakistan,Rupee,PKR,378.0712,01/06/2025,30/06/2025
Panama,Balboa,PAB,1.3412,01/06/2025,30/06/2025
Papua New Guinea,Kina,PGK,5.5248,01/06/2025,30/06/2025
Paraguay,Guarani,PYG,10709.7423,01/06/2025,30/06/2025
Peru,New Sol,PEN,4.9447,01/06/2025,30/06/2025
Philippines,Peso,PHP,74.6294,01/06/2025,30/06/2025
Poland,Zloty,PLN,5.0273,01/06/2025,30/06/2025
Qatar,Riyal,QAR,4.8820,01/06/2025,30/06/2025
Romania,New Leu,RON,6.0071,01/06/2025,30/06/2025
Russia,Rouble,RUB,107.0854,01/06/2025,30/06/2025
Rwanda,Franc,RWF,1911.9592,01/06/2025,30/06/2025
Saudi Arabia,Riyal,SAR,5.0296,01/06/2025,30/06/2025
Senegal,CFA Franc,XOF,777.0519,01/06/2025,30/06/2025
Serbia,Dinar,RSD,138.8821,01/06/2025,30/06/2025
Seychelles,Rupee,SCR,19.4205,01/06/2025,30/06/2025
Sierra Leone,Leone,SLE,30.5797,01/06/2025,30/06/2025
Singapore,Dollar,SGD,1.7301,01/06/2025,30/06/2025
Soloman Islands,Dollar,SBD,11.4074,01/06/2025,30/06/2025
Somali Republic,Schilling,SOS,765.7488,01/06/2025,30/06/2025
South Africa,Rand,ZAR,23.9960,01/06/2025,30/06/2025
South Korea,Won,KRW,1847.5864,01/06/2025,30/06/2025
Sri Lanka,Rupee,LKR,401.9385,01/06/2025,30/06/2025
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
St Lucia,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
St Vincent,E Caribbean Dollar,XCD,3.6311,01/06/2025,30/06/2025
Sudan Republic,Pound,SDG,805.3988,01/06/2025,30/06/2025
Surinam,Dollar,SRD,49.1488,01/06/2025,30/06/2025
Swaziland,Lilangeni,SZL,23.9960,01/06/2025,30/06/2025
