Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6674,01/06/2024,30/06/2024
Albania,Lek,ALL,117.8057,01/06/2024,30/06/2024
Algeria,Dinar,DZD,171.0410,01/06/2024,30/06/2024
Angola,Readj Kwanza,AOA,1090.3459,01/06/2024,30/06/2024
Antigua,E Caribbean Dollar,XCD,3.4339,01/06/2024,30/06/2024
Argentina,Peso,ARS,1130.1413,01/06/2024,30/06/2024
Armenia,Dram,AMD,491.0103,01/06/2024,30/06/2024
Aruba,Florin,AWG,2.2749,01/06/2024,30/06/2024
Australia,Dollar,AUD,1.9119,01/06/2024,30/06/2024
Azerbaijan,New Manat,AZN,2.1605,01/06/2024,30/06/2024
Bahamas,Dollar,BSD,1.2709,01/06/2024,30/06/2024
Bahrain,Dinar,BHD,0.4779,01/06/2024,30/06/2024
Bangladesh,Taka,BDT,148.9213,01/06/2024,30/06/2024
Barbados,Dollar,BBD,2.5418,01/06/2024,30/06/2024
Belarus,Rouble,BYN,4.1560,01/06/2024,30/06/2024
Belize,Dollar,BZD,2.5727,01/06/2024,30/06/2024
Benin,CFA Franc,XOF,770.0026,01/06/2024,30/06/2024
Bermuda,Dollar (US),BMD,1.2709,01/06/2024,30/06/2024
Bhutan,Ngultrum,BTN,105.8672,01/06/2024,30/06/2024
Bolivia,Boliviano,BOB,8.7734,01/06/2024,30/06/2024
Bosnia- Herzegovinia,Marka,BAM,2.2959,01/06/2024,30/06/2024
Botswana,Pula,BWP,17.1922,01/06/2024,30/06/2024
Brazil,Real,BRL,6.5109,01/06/2024,30/06/2024
Brunei,Dollar,BND,1.7156,01/06/2024,30/06/2024
Bulgaria,Lev,BGN,2.2959,01/06/2024,30/06/2024
Burkina Faso,CFA Franc,XOF,770.0026,01/06/2024,30/06/2024
Burundi,Franc,BIF,3645.9356,01/06/2024,30/06/2024
Cambodia,Riel,KHR,5182.5987,01/06/2024,30/06/2024
Cameroon Republic,CFA Franc,XAF,770.0026,01/06/2024,30/06/2024
Canada,Dollar,CAD,1.7381,01/06/2024,30/06/2024
Cape Verde Islands,Escudo,CVE,129.4417,01/06/2024,30/06/2024
