Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.9207,01/06/2026,30/06/2026
Albania,Lek,ALL,110.0756,01/06/2026,30/06/2026
Algeria,Dinar,DZD,177.7994,01/06/2026,30/06/2026
Angola,Readj Kwanza,AOA,1227.9175,01/06/2026,30/06/2026
Antigua,E Caribbean Dollar,XCD,3.6270,01/06/2026,30/06/2026
Argentina,Peso,ARS,1873.7960,01/06/2026,30/06/2026
Armenia,Dram,AMD,493.4737,01/06/2026,30/06/2026
Aruba,Florin,AWG,2.3984,01/06/2026,30/06/2026
Australia,Dollar,AUD,1.8799,01/06/2026,30/06/2026
Azerbaijan,New Manat,AZN,2.2778,01/06/2026,30/06/2026
Bahamas,Dollar,BSD,1.3399,01/06/2026,30/06/2026
Bahrain,Dinar,BHD,0.5038,01/06/2026,30/06/2026
Bangladesh,Taka,BDT,164.6996,01/06/2026,30/06/2026
Barbados,Dollar,BBD,2.6798,01/06/2026,30/06/2026
Belarus,Rouble,BYN,3.6751,01/06/2026,30/06/2026
Belize,Dollar,BZD,2.6982,01/06/2026,30/06/2026
Benin,CFA Franc,XOF,757.6197,01/06/2026,30/06/2026
Bermuda,Dollar (US),BMD,1.3399,01/06/2026,30/06/2026
Bhutan,Ngultrum,BTN,129.7582,01/06/2026,30/06/2026
Bolivia,Boliviano,BOB,9.2626,01/06/2026,30/06/2026
Bosnia- Herzegovinia,Marka,BAM,2.2590,01/06/2026,30/06/2026
Botswana,Pula,BWP,18.1197,01/06/2026,30/06/2026
Brazil,Real,BRL,6.7545,01/06/2026,30/06/2026
Brunei,Dollar,BND,1.7157,01/06/2026,30/06/2026
Burkina Faso,CFA Franc,XOF,757.6197,01/06/2026,30/06/2026
Burundi,Franc,BIF,4014.7076,01/06/2026,30/06/2026
Cambodia,Riel,KHR,5392.0818,01/06/2026,30/06/2026
Cameroon Republic,CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Canada,Dollar,CAD,1.8430,01/06/2026,30/06/2026
Cape Verde Islands,Escudo,CVE,127.3601,01/06/2026,30/06/2026
Cayman Islands,Dollar,KYD,1.1146,01/06/2026,30/06/2026
Central African Republic,CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Chad,CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Chile,Peso,CLP,1211.4339,01/06/2026,30/06/2026
China,Yuan,CNY,9.1168,01/06/2026,30/06/2026
Colombia,Peso,COP,5085.3478,01/06/2026,30/06/2026
Comoros,Franc,KMF,568.2148,01/06/2026,30/06/2026
Congo (Brazaville),CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Congo (DemRep),Congo Fr,CDF,3075.0434,01/06/2026,30/06/2026
Costa Rica,Colon,CRC,606.1442,01/06/2026,30/06/2026
Cote d'Ivoire,CFA Franc,XOF,757.6197,01/06/2026,30/06/2026
Cuba,Peso,CUP,32.1285,01/06/2026,30/06/2026
Czech Republic,Koruna,CZK,28.0935,01/06/2026,30/06/2026
Denmark,Krone,DKK,8.6314,01/06/2026,30/06/2026
Djibouti,Franc,DJF,238.6478,01/06/2026,30/06/2026
Dominica,E Caribbean Dollar,XCD,3.6270,01/06/2026,30/06/2026
Dominican Republic,Peso,DOP,78.8751,01/06/2026,30/06/2026
Dubai,Dirham,AED,4.9207,01/06/2026,30/06/2026
Egypt,Pound,EGP,71.5380,01/06/2026,30/06/2026
El Salvador,Colon,SVC,11.7240,01/06/2026,30/06/2026
Equatorial Guinea,CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Eritrea,Nakfa,ERN,20.0983,01/06/2026,30/06/2026
Eswatini,Lilangeni,SZL,22.2464,01/06/2026,30/06/2026
Ethiopia,Birr,ETB,214.7538,01/06/2026,30/06/2026
Eurozone,Euro,EUR,1.1550,01/06/2026,30/06/2026
Fiji Islands,Dollar,FJD,2.9568,01/06/2026,30/06/2026
Fr. Polynesia,CFP Franc,XPF,137.8262,01/06/2026,30/06/2026
Gabon,CFA Franc,XAF,757.6197,01/06/2026,30/06/2026
Gambia,Dalasi,GMD,98.4567,01/06/2026,30/06/2026
Georgia,Lari,GEL,3.5755,01/06/2026,30/06/2026
Ghana,Cedi,GHS,15.4690,01/06/2026,30/06/2026
Grenada,E Caribbean Dollar,XCD,3.6270,01/06/2026,30/06/2026
Guatemala,Quetzal,GTQ,10.2135,01/06/2026,30/06/2026
Guinea Bissau,CFA Franc,XOF,757.6197,01/06/2026,30/06/2026
Guinea Republic,Franc,GNF,11759.3173,01/06/2026,30/06/2026
Guyana,Dollar,GYD,280.2810,01/06/2026,30/06/2026
Haiti,Gourde,HTG,175.4394,01/06/2026,30/06/2026
Honduras,Lempira,HNL,35.6401,01/06/2026,30/06/2026
Hong Kong,Dollar,HKD,10.4952,01/06/2026,30/06/2026
