Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.7662,01/04/2025,30/04/2025
Albania,Lek,ALL,118.1352,01/04/2025,30/04/2025
Algeria,Dinar,DZD,173.3375,01/04/2025,30/04/2025
Angola,Readj Kwanza,AOA,1192.9573,01/04/2025,30/04/2025
Antigua,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
Argentina,Peso,ARS,1385.9945,01/04/2025,30/04/2025
Armenia,Dram,AMD,507.4208,01/04/2025,30/04/2025
Aruba,Florin,AWG,2.3231,01/04/2025,30/04/2025
Australia,Dollar,AUD,2.0483,01/04/2025,30/04/2025
Azerbaijan,New Manat,AZN,2.2063,01/04/2025,30/04/2025
Bahamas,Dollar,BSD,1.2978,01/04/2025,30/04/2025
Bahrain,Dinar,BHD,0.4880,01/04/2025,30/04/2025
Bangladesh,Taka,BDT,157.6299,01/04/2025,30/04/2025
Barbados,Dollar,BBD,2.5956,01/04/2025,30/04/2025
Belarus,Rouble,BYN,4.2443,01/04/2025,30/04/2025
Belize,Dollar,BZD,2.6059,01/04/2025,30/04/2025
Benin,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Bermuda,Dollar (US),BMD,1.2978,01/04/2025,30/04/2025
Bhutan,Ngultrum,BTN,112.0633,01/04/2025,30/04/2025
Bolivia,Boliviano,BOB,8.9667,01/04/2025,30/04/2025
Bosnia- Herzegovinia,Marka,BAM,2.3268,01/04/2025,30/04/2025
Botswana,Pula,BWP,17.6586,01/04/2025,30/04/2025
Brazil,Real,BRL,7.3517,01/04/2025,30/04/2025
Brunei,Dollar,BND,1.7298,01/04/2025,30/04/2025
Bulgaria,Lev,BGN,2.3268,01/04/2025,30/04/2025
Burkina Faso,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Burundi,Franc,BIF,3842.1971,01/04/2025,30/04/2025
Cambodia,Riel,KHR,5202.2417,01/04/2025,30/04/2025
Cameroon Republic,CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Canada,Dollar,CAD,1.8585,01/04/2025,30/04/2025
Cape Verde Islands,Escudo,CVE,131.1864,01/04/2025,30/04/2025
Cayman Islands,Dollar,KYD,1.0778,01/04/2025,30/04/2025
Central African Republic,CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Chad,CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Chile,Peso,CLP,1189.8388,01/04/2025,30/04/2025
China,Yuan,CNY,9.3845,01/04/2025,30/04/2025
Colombia,Peso,COP,5344.0539,01/04/2025,30/04/2025
Comoros,Franc,KMF,585.2858,01/04/2025,30/04/2025
Congo (Brazaville),CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Congo (DemRep),Congo Fr,CDF,3714.5962,01/04/2025,30/04/2025
Costa Rica,Colon,CRC,646.9029,01/04/2025,30/04/2025
Cote d'Ivoire,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Cuba,Peso,CUP,31.1352,01/04/2025,30/04/2025
Czech Republic,Koruna,CZK,29.7707,01/04/2025,30/04/2025
Denmark,Krone,DKK,8.8741,01/04/2025,30/04/2025
Djibouti,Franc,DJF,230.9767,01/04/2025,30/04/2025
Dominica,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
Dominican Republic,Peso,DOP,81.4919,01/04/2025,30/04/2025
Dubai,Dirham,AED,4.7662,01/04/2025,30/04/2025
Egypt,Pound,EGP,65.7059,01/04/2025,30/04/2025
El Salvador,Colon,SVC,11.3558,01/04/2025,30/04/2025
Equatorial Guinea,CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Eritrea,Nakfa,ERN,19.4670,01/04/2025,30/04/2025
Ethiopia,Birr,ETB,167.9902,01/04/2025,30/04/2025
Eurozone,Euro,EUR,1.1897,01/04/2025,30/04/2025
Fiji Islands,Dollar,FJD,2.9678,01/04/2025,30/04/2025
Fr. Polynesia,CFP Franc,XPF,141.9670,01/04/2025,30/04/2025
Gabon,CFA Franc,XAF,780.3810,01/04/2025,30/04/2025
Gambia,Dalasi,GMD,93.5314,01/04/2025,30/04/2025
Georgia,Lari,GEL,3.6027,01/04/2025,30/04/2025
Ghana,Cedi,GHS,20.1061,01/04/2025,30/04/2025
Grenada,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
Guatemala,Quetzal,GTQ,9.9989,01/04/2025,30/04/2025
Guinea Bissau,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Guinea Republic,Franc,GNF,11224.7186,01/04/2025,30/04/2025
Guyana,Dollar,GYD,271.6352,01/04/2025,30/04/2025
Haiti,Gourde,HTG,170.4089,01/04/2025,30/04/2025
Honduras,Lempira,HNL,33.2491,01/04/2025,30/04/2025
Hong Kong,Dollar,HKD,10.0844,01/04/2025,30/04/2025
Hungary,Forint,HUF,473.7936,01/04/2025,30/04/2025
Iceland,Krona,ISK,173.1123,01/04/2025,30/04/2025
India,Rupee,INR,112.0633,01/04/2025,30/04/2025
Indonesia,Rupiah,IDR,21445.2502,01/04/2025,30/04/2025
Iraq,Dinar,IQD,1697.3186,01/04/2025,30/04/2025
Israel,Shekel,ILS,4.7628,01/04/2025,30/04/2025
Jamaica,Dollar,JMD,203.0855,01/04/2025,30/04/2025
Japan,Yen,JPY,194.4474,01/04/2025,30/04/2025
Jordan,Dinar,JOD,0.9201,01/04/2025,30/04/2025
Kazakhstan,Tenge,KZT,653.8008,01/04/2025,30/04/2025
Kenya,Schilling,KES,167.9084,01/04/2025,30/04/2025
Kuwait,Dinar,KWD,0.3997,01/04/2025,30/04/2025
Kyrgyz Republic,Som,KGS,113.5638,01/04/2025,30/04/2025
Lao People's Dem Rep,Kip,LAK,28088.4300,01/04/2025,30/04/2025
Lebanon,Pound,LBP,116423.3883,01/04/2025,30/04/2025
Lesotho,Loti,LSL,23.5434,01/04/2025,30/04/2025
Liberia,Dollar,LRD,259.3319,01/04/2025,30/04/2025
Libya,Dinar,LYD,6.2431,01/04/2025,30/04/2025
Macao,Pataca,MOP,10.3869,01/04/2025,30/04/2025
Macedonia,Denar,MKD,73.1745,01/04/2025,30/04/2025
Madagascar,Malagasy Ariary,MGA,6046.8884,01/04/2025,30/04/2025
Malawi,Kwacha,MWK,2247.6505,01/04/2025,30/04/2025
Malaysia,Ringgit,MYR,5.7587,01/04/2025,30/04/2025
Maldive Islands,Rufiyaa,MVR,20.0403,01/04/2025,30/04/2025
Mali Republic,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Mauritania,Ouguiya,MRU,51.5387,01/04/2025,30/04/2025
Mauritius,Rupee,MUR,58.1809,01/04/2025,30/04/2025
Mexico,Mexican Peso,MXN,25.8856,01/04/2025,30/04/2025
Moldova,Leu,MDL,23.5460,01/04/2025,30/04/2025
Mongolia,Tugrik,MNT,4509.9609,01/04/2025,30/04/2025
Montserrat,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
Morocco,Dirham,MAD,12.5058,01/04/2025,30/04/2025
Mozambique,Metical,MZN,82.9052,01/04/2025,30/04/2025
Myanmar,Kyat,MMK,2723.7515,01/04/2025,30/04/2025
Nepal,Rupee,NPR,179.3854,01/04/2025,30/04/2025
New Caledonia,CFP Franc,XPF,141.9670,01/04/2025,30/04/2025
New Zealand,Dollar,NZD,2.2408,01/04/2025,30/04/2025
Nicaragua,Gold Cordoba,NIO,47.7283,01/04/2025,30/04/2025
Niger Republic,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Nigeria,Naira,NGN,1992.2716,01/04/2025,30/04/2025
Norway,Norwegian Krone,NOK,13.7095,01/04/2025,30/04/2025
Oman,Rial,OMR,0.4996,01/04/2025,30/04/2025
Pakistan,Rupee,PKR,363.3922,01/04/2025,30/04/2025
Panama,Balboa,PAB,1.2978,01/04/2025,30/04/2025
Papua New Guinea,Kina,PGK,5.2799,01/04/2025,30/04/2025
Paraguay,Guarani,PYG,10325.9210,01/04/2025,30/04/2025
Peru,New Sol,PEN,4.7401,01/04/2025,30/04/2025
Philippines,Peso,PHP,74.2540,01/04/2025,30/04/2025
Poland,Zloty,PLN,4.9804,01/04/2025,30/04/2025
Qatar,Riyal,QAR,4.7240,01/04/2025,30/04/2025
Romania,New Leu,RON,5.9215,01/04/2025,30/04/2025
Russia,Rouble,RUB,108.6812,01/04/2025,30/04/2025
Rwanda,Franc,RWF,1839.2822,01/04/2025,30/04/2025
Saudi Arabia,Riyal,SAR,4.8668,01/04/2025,30/04/2025
Senegal,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Serbia,Dinar,RSD,139.4374,01/04/2025,30/04/2025
Seychelles,Rupee,SCR,18.8160,01/04/2025,30/04/2025
Sierra Leone,Leone,SLE,29.6162,01/04/2025,30/04/2025
Singapore,Dollar,SGD,1.7298,01/04/2025,30/04/2025
Soloman Islands,Dollar,SBD,11.0367,01/04/2025,30/04/2025
Somali Republic,Schilling,SOS,741.2410,01/04/2025,30/04/2025
South Africa,Rand,ZAR,23.5434,01/04/2025,30/04/2025
South Korea,Won,KRW,1892.7175,01/04/2025,30/04/2025
Sri Lanka,Rupee,LKR,384.5156,01/04/2025,30/04/2025
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
St Lucia,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
St Vincent,E Caribbean Dollar,XCD,3.5132,01/04/2025,30/04/2025
Sudan Republic,Pound,SDG,779.6884,01/04/2025,30/04/2025
Surinam,Dollar,SRD,47.4648,01/04/2025,30/04/2025
Swaziland,Lilangeni,SZL,23.5434,01/04/2025,30/04/2025
Sweden,Krona,SEK,13.0798,01/04/2025,30/04/2025
Switzerland,Franc,CHF,1.1406,01/04/2025,30/04/2025
Taiwan,Dollar,TWD,42.8539,01/04/2025,30/04/2025
Tanzania,Schilling,TZS,3422.6553,01/04/2025,30/04/2025
Thailand,Baht,THB,43.6449,01/04/2025,30/04/2025
Togo Republic,CFA Franc,XOF,780.3810,01/04/2025,30/04/2025
Tonga Islands,Pa'anga (AUS),TOP,3.1202,01/04/2025,30/04/2025
Trinidad/Tobago,Dollar,TTD,8.8074,01/04/2025,30/04/2025
Tunisia,Dinar,TND,4.0027,01/04/2025,30/04/2025
Turkey,Turkish  Lira,TRY,49.5153,01/04/2025,30/04/2025
Turkmenistan,New Manat,TMT,4.5405,01/04/2025,30/04/2025
UAE,Dirham,AED,4.7662,01/04/2025,30/04/2025
USA,Dollar,USD,1.2978,01/04/2025,30/04/2025
Uganda,Schilling,UGX,4756.4559,01/04/2025,30/04/2025
