Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6219,01/03/2025,31/03/2025
Albania,Lek,ALL,119.6873,01/03/2025,31/03/2025
Algeria,Dinar,DZD,169.9846,01/03/2025,31/03/2025
Angola,Readj Kwanza,AOA,1157.7733,01/03/2025,31/03/2025
Antigua,E Caribbean Dollar,XCD,3.4073,01/03/2025,31/03/2025
Argentina,Peso,ARS,1331.6527,01/03/2025,31/03/2025
Armenia,Dram,AMD,502.0095,01/03/2025,31/03/2025
Aruba,Florin,AWG,2.2528,01/03/2025,31/03/2025
Australia,Dollar,AUD,1.9825,01/03/2025,31/03/2025
Azerbaijan,New Manat,AZN,2.1395,01/03/2025,31/03/2025
Bahamas,Dollar,BSD,1.2585,01/03/2025,31/03/2025
Bahrain,Dinar,BHD,0.4732,01/03/2025,31/03/2025
Bangladesh,Taka,BDT,152.8683,01/03/2025,31/03/2025
Barbados,Dollar,BBD,2.5170,01/03/2025,31/03/2025
Belarus,Rouble,BYN,4.1154,01/03/2025,31/03/2025
Belize,Dollar,BZD,2.5304,01/03/2025,31/03/2025
Benin,CFA Franc,XOF,791.9095,01/03/2025,31/03/2025
Bermuda,Dollar (US),BMD,1.2585,01/03/2025,31/03/2025
Bhutan,Ngultrum,BTN,109.3298,01/03/2025,31/03/2025
Bolivia,Boliviano,BOB,8.6876,01/03/2025,31/03/2025
Bosnia- Herzegovinia,Marka,BAM,2.3612,01/03/2025,31/03/2025
Botswana,Pula,BWP,17.4092,01/03/2025,31/03/2025
Brazil,Real,BRL,7.1666,01/03/2025,31/03/2025
Brunei,Dollar,BND,1.6907,01/03/2025,31/03/2025
Bulgaria,Lev,BGN,2.3612,01/03/2025,31/03/2025
Burkina Faso,CFA Franc,XOF,791.9095,01/03/2025,31/03/2025
Burundi,Franc,BIF,3722.9552,01/03/2025,31/03/2025
Cambodia,Riel,KHR,5046.5374,01/03/2025,31/03/2025
Cameroon Republic,CFA Franc,XAF,791.9095,01/03/2025,31/03/2025
Canada,Dollar,CAD,1.7883,01/03/2025,31/03/2025
Cape Verde Islands,Escudo,CVE,133.1244,01/03/2025,31/03/2025
Cayman Islands,Dollar,KYD,1.0411,01/03/2025,31/03/2025
Central African Republic,CFA Franc,XAF,791.9095,01/03/2025,31/03/2025
Chad,CFA Franc,XAF,791.9095,01/03/2025,31/03/2025
Chile,Peso,CLP,1196.5341,01/03/2025,31/03/2025
China,Yuan,CNY,9.1691,01/03/2025,31/03/2025
Colombia,Peso,COP,5150.8182,01/03/2025,31/03/2025
Comoros,Franc,KMF,593.9321,01/03/2025,31/03/2025
Congo (Brazaville),CFA Franc,XAF,791.9095,01/03/2025,31/03/2025
Congo (DemRep),Congo Fr,CDF,3601.5808,01/03/2025,31/03/2025
Costa Rica,Colon,CRC,636.8279,01/03/2025,31/03/2025
Cote d'Ivoire,CFA Franc,XOF,791.9095,01/03/2025,31/03/2025
Cuba,Peso,CUP,30.1600,01/03/2025,31/03/2025
Czech Republic,Koruna,CZK,30.3302,01/03/2025,31/03/2025
Denmark,Krone,DKK,9.0048,01/03/2025,31/03/2025
Djibouti,Franc,DJF,223.9264,01/03/2025,31/03/2025
Dominica,E Caribbean Dollar,XCD,3.4073,01/03/2025,31/03/2025
Dominican Republic,Peso,DOP,78.2910,01/03/2025,31/03/2025
Dubai,Dirham,AED,4.6219,01/03/2025,31/03/2025
Egypt,Pound,EGP,63.6856,01/03/2025,31/03/2025
El Salvador,Colon,SVC,11.0121,01/03/2025,31/03/2025
Equatorial Guinea,CFA Franc,XAF,791.9095,01/03/2025,31/03/2025
Eritrea,Nakfa,ERN,18.8779,01/03/2025,31/03/2025
Ethiopia,Birr,ETB,159.5771,01/03/2025,31/03/2025
Eurozone,Euro,EUR,1.2073,01/03/2025,31/03/2025
